Date / Time,Weather Description
"Tue, Aug 6, 2024 6:00 PM",few clouds
"Tue, Aug 6, 2024 9:00 PM",light rain
"Wed, Aug 7, 2024 12:00 AM",few clouds
"Wed, Aug 7, 2024 3:00 AM",clear sky
"Wed, Aug 7, 2024 6:00 AM",clear sky
"Wed, Aug 7, 2024 9:00 AM",clear sky
"Wed, Aug 7, 2024 12:00 PM",light rain
"Wed, Aug 7, 2024 3:00 PM",light rain
"Wed, Aug 7, 2024 6:00 PM",light rain
"Wed, Aug 7, 2024 9:00 PM",scattered clouds
"Thu, Aug 8, 2024 12:00 AM",scattered clouds
"Thu, Aug 8, 2024 3:00 AM",clear sky
"Thu, Aug 8, 2024 6:00 AM",scattered clouds
"Thu, Aug 8, 2024 9:00 AM",overcast clouds
"Thu, Aug 8, 2024 12:00 PM",overcast clouds
"Thu, Aug 8, 2024 3:00 PM",light rain
"Thu, Aug 8, 2024 6:00 PM",light rain
"Thu, Aug 8, 2024 9:00 PM",light rain
"Fri, Aug 9, 2024 12:00 AM",light rain
"Fri, Aug 9, 2024 3:00 AM",light rain
"Fri, Aug 9, 2024 6:00 AM",light rain
"Fri, Aug 9, 2024 9:00 AM",light rain
"Fri, Aug 9, 2024 12:00 PM",overcast clouds
"Fri, Aug 9, 2024 3:00 PM",few clouds
"Fri, Aug 9, 2024 6:00 PM",scattered clouds
"Fri, Aug 9, 2024 9:00 PM",scattered clouds
"Sat, Aug 10, 2024 12:00 AM",scattered clouds
"Sat, Aug 10, 2024 3:00 AM",scattered clouds
"Sat, Aug 10, 2024 6:00 AM",broken clouds
"Sat, Aug 10, 2024 9:00 AM",overcast clouds
"Sat, Aug 10, 2024 12:00 PM",broken clouds
"Sat, Aug 10, 2024 3:00 PM",overcast clouds
"Sat, Aug 10, 2024 6:00 PM",overcast clouds
"Sat, Aug 10, 2024 9:00 PM",light rain
"Sun, Aug 11, 2024 12:00 AM",light rain
"Sun, Aug 11, 2024 3:00 AM",overcast clouds
"Sun, Aug 11, 2024 6:00 AM",overcast clouds
"Sun, Aug 11, 2024 9:00 AM",overcast clouds
"Sun, Aug 11, 2024 12:00 PM",broken clouds
"Sun, Aug 11, 2024 3:00 PM",few clouds
